full_name,stargazers_count,description,created_at,updated_at,forks_count,watchers_count,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,open_issues_count
kmcallister/rpi-battery-monitor,75,Monitor battery voltage from a Raspberry Pi,2017-06-23T04:21:20Z,2025-02-14T11:58:32Z,6,75,704,Rust,True,True,True,True,False,False,False,1
9176324/Daat,75,a simple intel vt code both support x86 & x64. PatchGuard monitor.,2019-01-06T22:25:03Z,2024-09-24T13:16:40Z,47,75,602,C,True,True,True,True,False,False,False,0
trakt-for-plex/configuration,75,trakt (for Plex) configuration interface,2015-07-01T01:53:51Z,2024-11-20T02:36:29Z,11,75,1249,JavaScript,True,True,True,True,True,False,False,46
lilianweng/generalization-experiment,75,TBA,2019-03-14T21:26:57Z,2024-09-10T07:48:35Z,3,75,475,Python,True,True,True,True,False,False,False,1
BertrandBordage/django-super-inlines,75,"Adds useful features to inlines, such as the ability to nest them.",2015-04-10T16:06:43Z,2024-09-11T12:20:24Z,8,75,63,HTML,True,True,True,True,False,False,False,12
peterarsentev/java-courses,75,Практический Java курс. Бесплатно.,2015-03-13T13:38:39Z,2025-03-15T22:27:54Z,89,75,131,Java,True,True,True,True,False,False,False,0
cynorg/PebbleTimely,75,Timely watchface for Pebble smartwatch,2013-05-19T19:21:21Z,2024-11-21T02:35:58Z,39,75,4721,C,False,True,True,True,False,False,False,2
milosob/milo,75,Cryptography library for modern C++.,2022-07-12T09:12:17Z,2024-11-11T11:36:23Z,5,75,2041,C++,True,True,True,True,False,False,False,1
justdmitry/NetTelegramBotApi,75,C# client library for building Telegram bot,2015-06-25T15:05:37Z,2024-11-24T21:57:32Z,29,75,367,C#,True,True,True,True,False,False,False,10
vertxxyz/NTexturePreview,75,Enhanced Texture Previewer for Unity,2018-03-31T00:46:18Z,2024-11-23T15:36:31Z,7,75,14770,C#,True,False,True,False,False,False,True,3
64robots/nuxt-content-blog,75,Create blog posts from the command line and get them up and running automaticly,2020-06-06T15:47:33Z,2024-10-21T06:37:32Z,4,75,3174,Vue,True,True,True,True,False,False,False,23
MonsieurZbanowanYY/NFT-Marketplace-App-UI-Flutter,75,NFT Marketplace App UI with support for dark mode. Created by Martin Gogołowicz under 6 hours.,2022-01-14T23:23:03Z,2025-01-09T00:37:45Z,24,75,2527,Dart,True,True,True,True,False,False,False,0
ryo-utsunomiya/vanilla-autokana,75,A Vanilla-JavaScript library to complete furigana automatically.,2018-03-29T11:52:16Z,2024-11-26T05:20:47Z,21,75,815,JavaScript,True,True,True,True,False,False,False,14
aliyun/fc-docker,75,Dockerfiles for local building or running function of FC,2018-05-18T02:06:04Z,2024-12-03T12:34:03Z,20,75,912,Dockerfile,True,True,True,True,False,False,False,42
journey-ad/Snow-Typecho-Plugin,75,简单的，有丰富自定义项的 typecho 页面下雪插件,2017-12-20T03:13:35Z,2024-10-07T03:49:32Z,15,75,5,PHP,True,True,True,True,False,False,True,0
evertheylen/Notation,75,":pencil2: A simple web app to make drawings that are easy to embed, particularly for Notion.so.",2018-09-09T12:15:44Z,2024-10-13T11:11:32Z,8,75,39,JavaScript,True,True,True,True,False,False,False,1
j4velin/WiFi-Automatic,75,Automatically turn off WiFi if you don't need it,2013-11-19T23:07:21Z,2025-03-15T12:03:02Z,33,75,699,Java,True,True,True,True,False,False,False,20
TomDoesTech/t3-chat,75,,2022-07-17T22:16:17Z,2025-03-15T19:42:57Z,24,75,66,TypeScript,True,True,True,True,False,False,False,0
Team254/FRC-2018-Public,75,Public release of Lockdown's 2018 FRC Code,2018-07-07T02:37:59Z,2025-03-16T01:41:34Z,35,75,423,Java,True,True,True,True,False,False,False,1
cockroachdb/examples-go,75,Sample uses of cockroachDB.,2015-09-22T19:10:32Z,2024-09-17T15:56:49Z,31,75,12869,Go,True,True,False,True,False,False,True,3
AdamAtomic/Mode,75,"A small (but sadly not that simple) demo game built on the flixel framework.  Hopefully it will become kind of obsolete with the creation of more targeted, simple, and smaller open source demo games!",2009-10-19T00:17:31Z,2024-11-15T22:14:38Z,22,75,1755,ActionScript,True,True,True,True,False,False,False,3
m1guelpf/threads-api,75,Reverse-engineered Rust client for Instagram's Threads app.,2023-07-06T17:31:45Z,2025-02-18T16:36:52Z,1,75,8,Rust,True,False,True,False,False,False,False,0
MaxwellGengYF/Unity-Custom-Rendering-Pipline,75,A custom rendering pipeline(not SRP)'s practice & implement,2018-09-05T13:06:17Z,2024-10-16T08:53:44Z,30,75,11299,ShaderLab,True,True,True,True,False,False,False,0
bpennypacker/phad,75,Pi-Hole Alternate Display,2018-08-14T01:11:56Z,2024-10-20T17:44:07Z,8,75,67,Python,True,True,True,True,False,False,False,7
raganwald-deprecated/rewrite_rails,75,RewriteRails adds syntactic abstractions like Andand and String to Block to Rails projects without monkey-patching,2008-12-20T02:28:35Z,2024-10-19T19:22:23Z,6,75,246,Ruby,True,True,True,True,False,False,False,7
thinkive/webcms,75,,2016-03-15T08:01:10Z,2020-11-09T15:48:35Z,0,75,40047,HTML,True,True,True,True,False,False,False,0
guilhermecomum/inkscape-bootstrap,75,,2012-08-11T19:18:53Z,2024-05-08T00:46:36Z,21,75,1118,,True,True,True,True,False,False,False,0
dmichael/amazon-mws,75,Amazon Marketplace Web Service (MWS) library for Ruby,2009-10-09T14:01:09Z,2024-05-15T14:39:00Z,83,75,312,Ruby,True,True,True,True,False,False,False,1
NeilCrosby/frontend-test-suite,75,People don't give love to automated testing of the frontend. I intend to.,2008-11-26T21:59:47Z,2024-10-31T12:50:54Z,7,75,202,PHP,True,True,True,True,True,False,False,0
XNAL/vue-github-rank,75,Vue.js+Node.js爬虫，GitHub数据的爬取与展示。,2017-09-21T13:51:48Z,2024-10-25T04:45:44Z,21,75,573,JavaScript,True,True,True,True,False,False,False,0
bparsons/atlassian-systemd,75,Systemd unit files for Atlassian products,2013-01-21T14:11:41Z,2024-10-30T12:35:59Z,22,75,12,,True,True,True,True,False,False,False,0
hawkingfoo/demo-agent,75,java agent demo,2018-01-14T13:31:04Z,2025-02-11T06:20:43Z,44,75,14,Java,True,True,True,True,False,False,False,1
gfronza/rabbitmq-alert,75,Send notifications to the staff when predefined conditions are triggered,2013-06-19T01:19:39Z,2025-02-13T11:13:08Z,45,75,122,Python,True,True,True,True,False,False,False,7
mihirdilip/aspnetcore-authentication-basic,75,Easy to use and very light weight Microsoft style Basic Scheme Authentication Implementation for ASP.NET Core.,2018-03-21T15:07:34Z,2025-01-31T07:59:24Z,8,75,142,C#,True,True,True,True,True,False,False,0
pierredavidbelanger/logback-awslogs-appender,75,An Amazon Web Services (AWS) Logs (CloudWatch) appender for Logback,2016-06-09T15:49:06Z,2025-01-29T15:04:32Z,30,75,105,Java,True,True,True,True,False,False,False,7
glmcdona/LuxPythonEnvGym,75,"Matching python environment code for Lux AI 2021 Kaggle competition, and a gym interface for RL models.",2021-08-22T17:11:03Z,2025-02-04T17:53:19Z,37,75,1534,Python,True,True,True,True,False,False,False,5
ryanwinchester/kwiki,75,markdown wiki/blog,2015-04-22T23:47:02Z,2025-02-16T04:18:21Z,11,75,91,PHP,True,True,True,True,False,False,False,1
TrilbyWhite/Leela,75,A CLI frontend to the poppler-glib libary of PDF tools,2012-05-29T20:35:49Z,2025-03-20T19:04:10Z,2,75,161,C,True,True,True,True,False,False,False,1
JiaShun-Xiao/BLAST-bioinfor-tool,75,"Python implementation of Basic Local Alignment Search Tool (BLAST) , which is the core algorithm in sequence alignment for genomes.",2016-05-11T14:58:44Z,2025-03-20T22:58:30Z,29,75,947,Python,True,True,True,True,False,False,False,1
ademidun/austrian-quant,75,Quantitative trading algorithms with Python and Quantopian.,2017-06-02T21:51:44Z,2025-03-16T16:08:35Z,40,75,71487,Python,True,True,True,True,False,False,False,1
strinking/Good-Reads-And-Tips-About-Programming,75,This little repo contains helpful Links to various topics about Programming.,2017-08-26T20:30:05Z,2025-01-01T15:53:15Z,6,75,14,,True,False,True,False,False,False,False,3
Tynamix/ObjectFiller.NET,75,The .NET ObjectFiller fills the properties of your .NET objects with random data,2014-04-12T23:33:36Z,2025-01-21T13:49:40Z,33,75,3498,C#,True,True,True,True,True,False,False,13
danielmarbach/PerformanceTricksAzureSDK,75,Performance tricks I learned from contributing to the Azure .NET SDK,2022-03-11T14:04:43Z,2025-02-08T10:48:13Z,4,75,47446,JavaScript,True,False,True,False,True,False,False,0
sdslabs/beast,75,Jeopardy-style CTF challenge deployment and management tool.,2018-06-05T03:04:14Z,2025-03-19T12:09:24Z,7,75,19710,Go,True,True,True,True,False,False,False,62
johannesuhl/hironex,75,"HiRoNEx: Historical road network extractor: A python tool for automatic, fully unsupervised extraction of historical road networks from historical maps.",2022-04-04T22:40:56Z,2025-03-19T19:01:20Z,2,75,8767,Python,True,True,True,True,False,False,False,0
ruiliu-ai/DivCo,75,"Official Pytorch implementation of ""DivCo: Diverse Conditional Image Synthesis via Contrastive Generative Adversarial Network"" (CVPR'21)",2021-03-14T11:21:04Z,2025-02-10T09:07:44Z,12,75,92,Python,True,True,True,True,False,False,False,2
kwonoj/woodpile,75,SWC AST visitor in Javascript,2023-07-25T15:23:22Z,2025-03-19T10:30:01Z,2,75,52,Rust,True,False,True,False,False,False,False,2
antfu/vite-fs,75,Reactive FileSystem for Vite accessible in client-side,2021-01-24T21:16:32Z,2024-11-14T10:16:07Z,0,75,44,TypeScript,True,True,True,True,False,False,False,0
jeremynewlin/Accel,75,,2014-11-20T03:00:01Z,2025-03-01T07:51:50Z,15,75,47316,Mathematica,True,True,True,True,False,False,False,0
yy1261633791/rtsp-web-converter,75,转码RTSP，RTMP或其他格式的流用于浏览器播放,2020-01-16T03:00:19Z,2025-03-07T11:22:46Z,31,75,59,Java,True,True,True,True,False,False,False,8
tonarino/panel-firmware,75,"Firmware for the volume control hardware, targeting an STM32F4 board",2020-07-03T12:09:33Z,2025-03-05T08:18:07Z,10,75,117,Rust,True,True,True,False,False,False,False,8
DAVFoundation/dav-js,75,"Enable integration of JavaScript, TypeScript, and Node.js code with the DAV Network",2017-07-29T17:38:30Z,2025-03-04T04:20:11Z,49,75,3462,TypeScript,True,False,True,True,False,False,False,8
clojure-garden/clojure-garden,75,The navigator in the Clojure ecosystem,2021-11-29T19:24:09Z,2025-02-20T20:55:43Z,6,75,8577,Clojure,True,True,True,True,False,False,False,7
VowpalWabbit/reinforcement_learning,75,"Interaction-side integration library for Reinforcement Learning loops: Predict, Log, [Learn,] Update",2018-10-03T19:02:54Z,2025-03-21T16:07:47Z,40,75,16460,C++,True,True,True,True,False,False,False,68
zjrn/LSTM-CNN_CLASSIFICATION,75,,2018-04-25T12:41:58Z,2025-03-21T16:07:19Z,30,75,421,Python,True,True,True,True,False,False,False,1
xtt129/seCrawler,75,A scrapy project can crawl search result of Google/Bing/Baidu,2015-10-28T18:16:07Z,2025-02-23T08:38:58Z,41,75,12,Python,True,True,True,True,False,False,False,3
Torxgewinde/Desk-Lamp-Alternative-Firmware,75,An alternative firmware for the Mijia Xiaomi Desk Lamp,2018-04-13T19:13:35Z,2025-01-23T19:11:04Z,8,75,10604,C++,True,True,True,True,False,False,False,0
twogate/cordova-plugin-sign-in-with-apple,75,A native-implemented plugin of Sign in with Apple // Thanks to your contribution! // Cordova>=8 iOS>=13,2019-08-26T14:22:36Z,2025-03-11T07:46:32Z,50,75,36,JavaScript,True,True,True,True,False,False,False,18
cbilgili/zemberek-nlp-server,75,Zemberek Türkçe NLP Java Kütüphanesi üzerine REST Docker Sunucu,2018-04-22T12:09:13Z,2024-11-22T03:09:45Z,17,75,201,Java,True,True,True,True,False,False,False,1
Alexis12119/nightly.nvim,75,"A customized theme for Neovim, based on the Everblush color scheme.",2023-01-29T23:47:44Z,2025-04-09T08:04:12Z,4,75,118,Lua,True,True,True,True,False,False,False,0
AndySparks/public-journal,75,Knowledge and essays. Personal and public.,2018-01-01T23:29:01Z,2025-04-09T04:29:55Z,2,75,591,,True,True,True,True,False,False,False,0
sanity-io/community-studio,75,Sanity Community Management Studio,2020-04-02T09:40:12Z,2025-04-10T11:32:10Z,10,75,25655,TypeScript,True,True,True,True,False,False,False,15
wesleymilan/nginx-for-nodejs,75,Short tutorial on how to setup NGinx to run with NodeJS using PM2,2022-09-07T14:21:36Z,2025-04-10T11:53:00Z,41,75,178,TypeScript,True,True,True,True,False,False,False,0
scudzey/UVROverlay,75,Universal VR Overlay,2016-08-07T04:39:24Z,2025-04-16T14:06:15Z,11,75,826,C++,True,True,True,True,False,False,False,6
h3rald/hastysite,75,A small but powerful static site generator,2016-10-22T19:19:40Z,2025-04-16T05:07:20Z,2,75,11739,CSS,True,True,True,True,False,False,False,0
Menci/simple-sandbox,75,A simple Linux sandbox with Node.js API.,2017-05-01T00:03:55Z,2025-04-16T22:47:40Z,21,75,159,C++,True,True,True,True,False,False,False,11
behitek/social-scraper,75,"Vietnamese text data crawler scripts for various sites (including Youtube, Facebook, 4rum, news, ...)",2020-02-28T07:24:28Z,2025-04-17T01:41:09Z,46,75,23107,Python,True,True,True,True,False,False,True,0
francisengelmann/3D-MPA,75,[CVPR 2020] Multi Proposal Aggregation for 3D Semantic Instance Segmentation,2020-04-04T17:51:09Z,2025-04-17T14:13:21Z,3,75,5552,,True,True,True,True,True,False,False,5
s-matyukevich/bash-cni-plugin,75,,2018-08-08T21:02:10Z,2025-04-18T13:24:11Z,28,75,3,Shell,True,True,True,True,False,False,False,0
CLUEbenchmark/CLUEWSC2020,75,CLUEWSC2020: WSC Winograd模式挑战中文版，中文指代消解任务,2020-05-24T14:37:33Z,2025-04-19T05:04:03Z,2,75,5,,True,True,True,True,False,False,False,1
tayormi/writesync,75,"A modern, responsive blog engine built with Jaspr and Dart.",2025-02-10T02:22:45Z,2025-04-19T12:26:22Z,5,75,26533,Dart,True,True,True,True,False,False,False,0
ShallowFeather/ReadWriteDriver,75,Read Write Memory without attach,2024-08-11T15:14:09Z,2025-03-08T06:21:41Z,4,75,26687,C,True,True,True,True,False,False,False,0
hngprojects/hng_boilerplate_expressjs,75,,2024-07-18T10:21:39Z,2025-03-22T01:37:00Z,84,75,2702,TypeScript,True,True,True,True,False,False,False,75
phimage/morphi,75,Shapes for SwiftUI ♡☾,2019-07-17T19:14:07Z,2025-03-30T01:46:29Z,2,75,314,Swift,True,False,True,False,False,False,False,2
yesmeck/mini-store,100,A minimal state store for React component.,2017-10-21T04:13:05Z,2023-08-26T17:04:00Z,13,100,55,TypeScript,True,True,True,True,False,False,True,1
acorncache/acorn-cache,100,A Configurable HTTP Proxy Caching Gem,2016-02-12T15:01:20Z,2022-04-08T16:20:43Z,8,100,114,Ruby,True,True,True,True,False,False,False,0
civkit/paper,100,Civ Kit whitepaper,2023-04-13T00:30:08Z,2024-12-06T08:34:31Z,6,100,409,,True,True,True,False,False,False,False,4
bgourlie/rs-nes,100,A work-in-progress NES emulator written in Rust,2015-06-29T03:41:35Z,2024-12-14T04:36:46Z,4,100,1706,Rust,True,True,True,True,False,False,False,15
slavivanov/Style-Tranfer,100,Implementation of original style transfer paper (Gatys et al),2017-02-10T15:55:25Z,2024-01-04T16:11:19Z,36,100,2504,Jupyter Notebook,True,True,True,True,False,False,False,0
pablo14/funModeling,100,"R package: funModeling: data cleaning, importance variable analysis and model perfomance",2016-02-08T20:24:33Z,2024-08-16T20:04:47Z,29,100,9399,HTML,True,True,True,True,True,False,False,3
anthonybudd/WP_Model,100,A simple drop-in abstract class for creating active record style eloquent-esque models of WordPress Posts,2016-11-03T10:46:07Z,2024-01-03T12:18:29Z,20,100,158,PHP,True,True,True,True,False,False,False,4
stevemao/awesome-pull-requests,100,How people work together (PR welcome!),2016-09-30T12:32:04Z,2024-12-20T04:20:57Z,9,100,5,,True,True,True,True,False,False,False,1
vitjs/vit,100,🚀  React application framework inspired by UmiJS / 类 UmiJS 的 React 应用框架,2021-03-24T15:10:19Z,2024-05-22T03:38:20Z,7,100,556,TypeScript,True,False,True,False,False,False,False,1
Alro10/YOLO-darknet-on-Jetson-TX2,100,How to run YOLO on Jetson TX2,2017-11-22T17:44:34Z,2024-06-06T10:53:51Z,31,100,2750,,True,True,True,True,False,False,False,3
ICU2020/Maotai,100,抢茅台github项目精选,2021-01-05T07:04:09Z,2024-10-04T13:54:41Z,27,100,6,,True,True,True,True,False,False,False,1
dzenbot/XCSnippetr,100,An Xcode Plugin to upload code snippets directly into Slack and Gist,2015-07-19T05:31:34Z,2025-02-20T01:36:13Z,3,100,4416,Objective-C,True,False,True,False,False,False,True,3
miguelbranco80/goconfig,100,Configuration file parser for Go.,2009-11-25T16:42:12Z,2024-11-10T14:35:18Z,147,100,34,Go,True,True,True,True,False,False,True,2
mossmann/retroreflectors,100,RF retroreflectors,2014-07-16T03:26:59Z,2024-11-30T18:42:47Z,20,100,110,KiCad,True,True,True,True,False,False,False,1
ryanbelke/strapi-next,100,Strapi CMS tutorial with Nextjs,2018-10-07T15:26:37Z,2024-09-15T21:29:18Z,22,100,19159,JavaScript,True,True,True,True,False,False,False,0
uswitch/bifrost,100,Safely archive data from Apache Kafka to S3 with no Hadoop dependencies :),2014-06-06T13:46:04Z,2024-12-15T16:52:49Z,15,100,58,Clojure,True,True,True,True,False,False,True,0
Riim/Rionite,100,Rionite – реактивная обёртка над custom-elements,2015-10-27T16:05:28Z,2024-11-15T21:56:56Z,3,100,4341,TypeScript,True,True,True,True,False,False,False,0
anexia-it/winshock-test,100,Bash script that tests if a system is Winshock (MS14-066) vulnerable,2014-11-13T10:05:19Z,2024-11-21T15:36:33Z,54,100,185,Shell,True,True,True,True,False,False,True,5
ustwo/autocluster,100,The code base around the cluster prototypes. ,2015-02-03T17:05:12Z,2025-02-14T01:56:11Z,10,100,13726,JavaScript,True,True,True,True,False,False,False,1
EnviralDesign/NodeMCU-Arduino-Pixel-Driver,100,Streaming Led pixel control,2016-12-13T19:20:54Z,2025-01-31T11:14:05Z,12,100,10987,C++,True,True,True,True,False,False,False,4
ResearchKit/AsthmaHealth,100,"ResearchKit app studying Asthma, developed by Mt Sinai.",2015-03-25T18:29:40Z,2025-02-06T16:00:45Z,47,100,22092,Objective-C,True,True,True,False,False,False,False,0
trilwu/miLazyCracker,100,Mifare Classic Plus - Hardnested Attack Implementation for SCL3711 LibNFC USB reader,2017-02-13T03:04:32Z,2025-02-06T20:31:55Z,25,100,45,Shell,False,True,True,True,False,False,False,1
loganmeetsworld/awesome-newsroom-tech,100,"List of newsrooms around the world that are using software engineering, data science, osint, and various tech to elevate reporting.",2019-10-01T12:21:11Z,2025-02-03T03:48:58Z,10,100,92,,True,True,True,True,False,False,False,0
johnmyleswhite/JAGSExamples,100,Examples of statistical models implemented using JAGS,2012-02-10T00:38:04Z,2025-02-06T00:38:23Z,39,100,6132,R,True,True,True,True,False,False,False,0
arturadib/thewall,100,Anonymous Twitter-like wall (Agility.js demo),2011-07-20T22:39:12Z,2025-02-06T00:38:23Z,12,100,638,JavaScript,True,True,True,True,False,False,False,5
zverok/wheretz,100,Fast and precise time zone by geo coordinates lookup,2016-01-28T15:32:24Z,2025-02-06T00:38:23Z,12,100,92145,Ruby,True,True,True,True,False,False,False,3
misd-service-development/guzzle-bundle,100,[NOT MAINTAINED] Integrates Guzzle into your Symfony2 application,2012-11-12T11:15:58Z,2025-02-06T00:38:23Z,54,100,1001,PHP,True,True,True,False,False,False,False,21
drublic/less-mixins,100,LESS mixins for general use,2013-08-13T08:23:20Z,2025-02-06T00:38:23Z,9,100,184,CSS,True,True,True,True,False,False,False,0
keithpitt/vendor,100,Dependency management for iOS and OSX development,2011-08-28T00:54:10Z,2025-02-06T00:38:23Z,7,100,5008,Ruby,True,True,True,False,False,False,True,5
simonedegiacomi/gphotosuploader,100,Unofficial Google Photos uploader and Go library,2017-06-25T14:27:03Z,2025-03-09T17:18:47Z,29,100,118,Go,True,True,True,True,False,False,False,8
Juliest88/mysql-node-express,100,,2020-07-29T20:55:14Z,2025-03-16T12:20:42Z,38,100,22,JavaScript,True,True,True,True,False,False,False,12
seanjgildea/CoreSpring5CertificationGuide,100,This guide is designed to help you prepare for the Core Spring 5.0 certification exam,2019-02-10T21:18:54Z,2025-03-16T05:44:34Z,37,100,589,,True,True,True,True,False,False,False,1
quickjs-go/quickjs-go,100,golang binding quickjs,2021-01-07T08:40:49Z,2024-12-31T07:07:51Z,22,100,53273,Go,True,True,True,True,False,False,False,5
adriacabeza/erudito,100,Erudito: Easy API/CLI to ask questions about your documentation,2023-03-20T18:43:27Z,2025-01-14T09:37:31Z,10,100,724,Python,True,True,True,False,True,False,False,7
PearOCR/pearocr_issue,100,This repository is currently only used for issue tracking for https://pearocr.com,2021-08-10T07:37:06Z,2025-01-14T05:44:19Z,8,100,5,,True,True,True,True,False,False,False,44
wudejian789/2020TIANCHI-ProteinSecondaryStructurePrediction-TOP1,100,2020天池大赛，蛋白质结构预测大赛TOP1方案分享,2020-03-25T08:04:02Z,2025-01-18T02:04:51Z,21,100,4828,Python,True,True,True,True,False,False,False,1
dlenski/wtf,100,Whitespace Total Fixer,2014-08-30T17:25:49Z,2025-01-01T22:46:46Z,12,100,73,Python,True,True,True,True,False,False,False,10
evilfer/react-phaser,100,,2016-04-02T12:02:37Z,2025-01-03T17:54:11Z,16,100,6494,JavaScript,True,True,True,True,False,False,False,7
sindresorhus/gulp-ftp,100,[DEPRECATED] Upload files to an FTP-server,2013-12-25T14:32:16Z,2025-01-07T20:10:50Z,22,100,30,JavaScript,False,False,True,False,False,False,True,0
erickreutz/mixturefm,100,Mixes for the masses. ,2012-03-31T22:52:50Z,2025-02-23T12:13:14Z,27,100,919,JavaScript,True,True,True,False,False,False,False,1
ayushjain1594/Stock-Forecasting,100,Hidden Markov Model (HMM) based stock forecasting,2018-02-27T21:07:20Z,2025-01-19T23:33:04Z,57,100,1729,Python,True,True,True,True,False,False,False,2
codrops/StackSlider,100,An experimental image slider that flips through images in 3D. Two stacks resemble image piles where images will be lifted off from and rotated to the center for viewing.,2012-12-03T10:24:57Z,2025-03-10T06:57:43Z,44,100,547,JavaScript,True,True,True,True,False,False,False,2
kjpgit/metal-fireworks,100,"Fireworks Graphics Demo (Swift, Metal, macOS)",2015-11-16T16:41:20Z,2025-04-08T09:47:27Z,2,100,112,Swift,False,False,True,False,False,False,True,1
